page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
http://blog.livedoor.jp/,1000,31,10,272499,0.0,0.0,0.0,3.0,none
https://550909.com/,1000,242,97,5849692,1.0,1.0,0.0,18.0,none
https://9animetv.to/,1000,59,25,1091489,1.0,0.0,0.0,12.0,none
https://accounts.google.com/,1000,24,5,559859,0.0,0.0,0.0,3.0,none
https://accounts.spotify.com/,1000,29,8,1041272,0.0,0.0,0.0,13.0,none
https://actu.fr/,1000,41,8,1008189,1.0,1.0,1.0,20.0,Didomi
https://ads.google.com/,1000,86,16,5064868,1.0,0.0,0.0,4.0,none
https://ameblo.jp/,1000,68,12,1172668,1.0,0.0,0.0,7.0,none
https://aniwatchtv.to/,1000,60,26,805050,1.0,0.0,0.0,10.0,none
https://anoboy.baby/,1000,51,4,1201492,0.0,0.0,0.0,13.0,none
https://app.hubspot.com/,1000,51,10,795061,0.0,0.0,1.0,19.0,HubSpot Cookie Policy Banner
https://arca.live/,1000,26,7,1810285,1.0,0.0,0.0,12.0,none
https://archive.org/,1000,77,4,646006,0.0,0.0,0.0,9.0,none
https://archiveofourown.org/,1000,51,4,223116,0.0,0.0,0.0,10.0,none
https://aternos.org/,1000,24,5,1611528,1.0,0.0,0.0,9.0,none
https://auto.drom.ru/,1000,152,14,957495,1.0,0.0,0.0,7.0,none
https://av19.gg/,1000,61,6,3591347,1.0,0.0,0.0,16.0,none
https://bakusai.com/,1000,60,15,869243,1.0,1.0,0.0,9.0,none
https://baseball.yahoo.co.jp/,1000,142,21,2404713,1.0,0.0,0.0,9.0,none
https://bato.to/,1000,238,28,14808880,1.0,0.0,0.0,15.0,none
https://battwo.com/,1000,247,32,14757443,1.0,1.0,0.0,16.0,none
https://bbs.animanch.com/,1000,748,69,4234729,1.0,1.0,0.0,20.0,none
https://bbs.ruliweb.com/,1000,325,83,7283219,1.0,1.0,0.0,22.0,none
https://bdvenlinea.banvenez.com/,1000,47,10,1132321,1.0,0.0,0.0,11.0,none
https://beauty.hotpepper.jp/,1000,329,63,2716234,1.0,1.0,0.0,22.0,none
https://bot.solesbot.ai/,1000,2,1,7885,0.0,0.0,0.0,1.0,none
https://br.pinterest.com/,1000,246,11,14438141,1.0,1.0,0.0,22.0,none
https://br.search.yahoo.com/,1000,23,4,813324,0.0,0.0,0.0,3.0,none
https://br.skokka.com/,1000,25,9,794652,1.0,0.0,0.0,13.0,none
https://br.xhamster.com/,1000,103,19,1895786,1.0,1.0,0.0,14.0,none
https://brainly.co.id/,1000,63,17,1161738,1.0,0.0,0.0,18.0,none
https://business.facebook.com/,1000,50,4,737545,0.0,0.0,0.0,3.0,none
https://byjus.com/,1000,141,25,1729271,1.0,1.0,0.0,33.0,none
https://cardgames.io/,1000,68,3,941845,0.0,1.0,1.0,11.0,OneTrust
https://character.ai/,1000,96,13,2201235,1.0,0.0,0.0,24.0,none
https://chatgpt.com/,1000,59,3,1344749,1.0,0.0,0.0,15.0,none
https://chaturbate.com/,1000,170,10,3026330,1.0,0.0,0.0,25.0,none
https://chromewebstore.google.com/,1000,87,10,2404188,1.0,0.0,0.0,6.0,none
https://client.schwab.com/,1000,64,23,1882459,1.0,0.0,1.0,13.0,OneTrust
https://cn.pornhub.com/,1000,107,17,2645782,1.0,0.0,0.0,11.0,none
https://coinmarketcap.com/,1000,240,15,2545603,1.0,1.0,1.0,24.0,OneTrust
https://context.reverso.net/,1000,58,13,766653,1.0,1.0,1.0,16.0,Didomi
https://coomer.su/,1000,29,1,2870911,0.0,0.0,0.0,3.0,none
https://cursos.alura.com.br/,1000,165,20,995209,1.0,1.0,0.0,17.0,none
https://cz.pornhub.com/,1000,109,16,2134863,1.0,0.0,0.0,11.0,none
https://czbooks.net/,1000,120,26,2671566,1.0,0.0,0.0,17.0,none
https://danbooru.donmai.us/,1000,35,3,817586,1.0,0.0,0.0,18.0,none
https://dantri.com.vn/,1000,1240,234,7197268,1.0,1.0,1.0,42.0,Conversant Consent Tool
https://de.pornhub.com/,1000,22,8,2944875,1.0,0.0,0.0,4.0,none
https://de.pornhub.org/,1000,22,8,2258854,1.0,0.0,0.0,3.0,none
https://discord.com/,1000,99,11,11831949,1.0,0.0,1.0,24.0,OneTrust
https://diziwatch.net/,1000,89,8,1969170,1.0,0.0,0.0,15.0,none
https://doublelist.com/,1000,67,30,820298,1.0,1.0,1.0,23.0,OneTrust
https://doujindesu.tv/,1000,87,10,8000064,1.0,1.0,0.0,9.0,none
https://duckduckgo.com/,1000,65,2,2302891,0.0,0.0,0.0,11.0,none
https://dvprogram.state.gov/,1000,16,1,470635,0.0,0.0,0.0,6.0,none
https://dzen.ru/,1000,287,30,6450106,1.0,1.0,0.0,11.0,none
https://e-hentai.org/,1000,22,7,884863,0.0,1.0,0.0,7.0,none
https://e621.net/,1000,14,2,432625,0.0,0.0,0.0,11.0,none
https://ecnavi.jp/,1000,324,53,6255460,1.0,1.0,1.0,26.0,Funding Choices
https://ekstrabladet.dk/,1000,56,9,4579610,0.0,0.0,1.0,7.0,Cookiebot
https://elpais.com/,1000,104,37,1544745,1.0,1.0,1.0,21.0,Funding Choices
https://emaktab.uz/,1000,48,6,2007839,1.0,1.0,0.0,12.0,none
https://en.luxuretv.com/,1000,68,15,3046543,1.0,0.0,0.0,11.0,none
https://en.wikipedia.org/,1000,39,3,485226,0.0,0.0,0.0,7.0,none
https://enabiz.gov.tr/,1000,103,17,6800391,1.0,0.0,0.0,10.0,none
