page,rank,total_requests,num_domains,page_weight
http://blog.livedoor.jp/,1000,31,10,272499
https://550909.com/,1000,242,97,5849692
https://9animetv.to/,1000,59,25,1091489
https://accounts.google.com/,1000,24,5,559859
https://accounts.spotify.com/,1000,29,8,1041272
https://actu.fr/,1000,41,8,1008189
https://ads.google.com/,1000,86,16,5064868
https://ameblo.jp/,1000,68,12,1172668
https://aniwatchtv.to/,1000,60,26,805050
https://anoboy.baby/,1000,51,4,1201492
https://app.hubspot.com/,1000,51,10,795061
https://arca.live/,1000,26,7,1810285
https://archive.org/,1000,77,4,646006
https://archiveofourown.org/,1000,51,4,223116
https://aternos.org/,1000,24,5,1611528
https://auto.drom.ru/,1000,152,14,957495
https://av19.gg/,1000,61,6,3591347
https://bakusai.com/,1000,60,15,869243
https://baseball.yahoo.co.jp/,1000,142,21,2404713
https://bato.to/,1000,238,28,14808880
https://battwo.com/,1000,247,32,14757443
https://bbs.animanch.com/,1000,748,69,4234729
https://bbs.ruliweb.com/,1000,325,83,7283219
https://bdvenlinea.banvenez.com/,1000,47,10,1132321
https://beauty.hotpepper.jp/,1000,329,63,2716234
https://bot.solesbot.ai/,1000,2,1,7885
https://br.pinterest.com/,1000,246,11,14438141
https://br.search.yahoo.com/,1000,23,4,813324
https://br.skokka.com/,1000,25,9,794652
https://br.xhamster.com/,1000,103,19,1895786
https://brainly.co.id/,1000,63,17,1161738
https://business.facebook.com/,1000,50,4,737545
https://byjus.com/,1000,141,25,1729271
https://cardgames.io/,1000,68,3,941845
https://character.ai/,1000,96,13,2201235
https://chatgpt.com/,1000,59,3,1344749
https://chaturbate.com/,1000,170,10,3026330
https://chromewebstore.google.com/,1000,87,10,2404188
https://client.schwab.com/,1000,64,23,1882459
https://cn.pornhub.com/,1000,107,17,2645782
https://coinmarketcap.com/,1000,240,15,2545603
https://context.reverso.net/,1000,58,13,766653
https://coomer.su/,1000,29,1,2870911
https://cursos.alura.com.br/,1000,165,20,995209
https://cz.pornhub.com/,1000,109,16,2134863
https://czbooks.net/,1000,120,26,2671566
https://danbooru.donmai.us/,1000,35,3,817586
https://dantri.com.vn/,1000,1240,234,7197268
https://de.pornhub.com/,1000,22,8,2944875
https://de.pornhub.org/,1000,22,8,2258854
https://discord.com/,1000,99,11,11831949
https://diziwatch.net/,1000,89,8,1969170
https://doublelist.com/,1000,67,30,820298
https://doujindesu.tv/,1000,87,10,8000064
https://duckduckgo.com/,1000,65,2,2302891
https://dvprogram.state.gov/,1000,16,1,470635
https://dzen.ru/,1000,287,30,6450106
https://e-hentai.org/,1000,22,7,884863
https://e621.net/,1000,14,2,432625
https://ecnavi.jp/,1000,324,53,6255460
https://ekstrabladet.dk/,1000,56,9,4579610
https://elpais.com/,1000,104,37,1544745
https://emaktab.uz/,1000,48,6,2007839
https://en.luxuretv.com/,1000,68,15,3046543
https://en.wikipedia.org/,1000,39,3,485226
https://enabiz.gov.tr/,1000,103,17,6800391
https://es.pornhub.com/,1000,113,18,2964897
https://es.wikipedia.org/,1000,55,4,696534
https://es.xhamster.com/,1000,102,19,2070990
https://esaj.tjsp.jus.br/,1000,63,3,1159383
https://escortalligator.com.listcrawler.eu/,1000,57,8,322507
https://escortbabylon.net/,1000,37,5,689424
https://exhentai.org/,1000,5,2,141
https://fantia.jp/,1000,57,12,2816458
https://fapello.com/,1000,98,17,4125928
https://faphouse.com/,1000,339,12,8774436
https://faq.whatsapp.com/,1000,37,4,2255050
https://fast.com/,1000,48,6,17707692
https://fatalmodel.com/,1000,65,5,902399
https://fetlife.com/,1000,31,2,931168
https://ficbook.net/,1000,69,13,2425825
https://finance.naver.com/,1000,72,10,626055
https://finance.yahoo.co.jp/,1000,110,13,775363
https://finance.yahoo.com/,1000,632,131,8071201
https://forum.gamer.com.tw/,1000,132,20,2796753
https://fr.pornhub.com/,1000,107,17,3834169
https://fr.xhamster.com/,1000,99,19,2020384
https://fr.xvideos.com/,1000,63,7,1675234
https://funnyjunk.com/,1000,181,36,17580636
https://funpay.com/,1000,23,6,1037312
https://g.laroza.net/,1000,20,4,801313
https://g1.globo.com/,1000,421,130,5869337
https://gall.dcinside.com/,1000,115,24,2675275
https://game.granbluefantasy.jp/,1000,67,11,1679190
https://game8.jp/,1000,537,107,7326011
https://gamewith.jp/,1000,155,36,2662995
https://ge.globo.com/,1000,564,127,8117766
https://ge.xhamster.com/,1000,105,19,2182758
https://ge.xhamster.desi/,1000,101,19,1820545
https://gelbooru.com/,1000,17,2,177153
https://gemini.google.com/,1000,48,12,5468052
https://gendai.media/,1000,647,135,9672996
https://genius.com/,1000,1771,248,4849779
https://giris.turkiye.gov.tr/,1000,22,3,245165
https://girlschannel.net/,1000,27,7,329053
https://github.com/,1000,109,4,1554410
https://goal.co/,1000,138,5,1850865
https://hanime1.me/,1000,356,38,19557890
https://happymod.com/,1000,19,4,396348
https://harimanga.com/,1000,492,130,1372348
https://hianime.to/,1000,54,24,648638
https://hindi.news18.com/,1000,351,51,6297611
https://hitomi.la/,1000,110,12,600929
https://hochi.news/,1000,582,178,3877292
https://id.spankbang.com/,1000,387,34,24548520
https://imgsrc.ru/,1000,37,16,2810103
https://imhentai.xxx/,1000,591,135,21913655
https://in.bookmyshow.com/,1000,93,26,2434762
https://in.pinterest.com/,1000,253,12,14536093
https://in.search.yahoo.com/,1000,22,4,814325
https://isaidub8.com/,1000,12,6,135115
https://it.pornhub.com/,1000,124,18,2629974
https://ita.xhamster.com/,1000,101,18,1921435
https://ja.wikipedia.org/,1000,55,4,591232
https://jable.tv/,1000,79,17,3659049
https://jp.pornhub.com/,1000,124,17,4666354
https://jp.spankbang.com/,1000,361,40,24114403
https://jut.su/,1000,89,7,1498454
https://kakuyomu.jp/,1000,390,113,8900893
https://kemono.su/,1000,30,1,4526359
https://khoahoc.vietjack.com/,1000,152,30,2567027
https://ko.xhamster2.com/,1000,104,20,1870454
https://kunmanga.com/,1000,210,52,1337758
https://la.spankbang.com/,1000,350,34,26314755
https://launchpad.classlink.com/,1000,24,5,955164
https://letterboxd.com/,1000,1197,218,7597197
https://lichess.org/,1000,71,4,261408
https://like-manga.net/,1000,108,15,1531081
https://linktr.ee/,1000,144,35,2230842
https://litnet.com/,1000,322,37,13065070
https://login.yahoo.com/,1000,466,134,1939596
https://m.cafe.daum.net/,1000,155,14,4577424
https://m.happymh.com/,1000,47,8,1541565
https://m.humoruniv.com/,1000,58,9,687622
